cidade,area,quartos,banheiro,garagens,andar,animal,mobilia,condominio_reais,iptu,seguro_incendio
Campinas,12732,3,2,0,3,acept,not furnished,700,96,21
Rio de Janeiro,45,1,1,0,6,acept,not furnished,560,80,25
São Paulo,90,3,3,2,-,acept,not furnished,0,50,31
Porto Alegre,37,1,1,0,2,acept,not furnished,220,13,10
São Paulo,16,1,1,0,1,not acept,not furnished,0,9,11
São Paulo,530,5,6,4,2,acept,furnished,8300,5000,191
São Paulo,70,3,2,0,-,acept,not furnished,0,60,23
Campinas,74,2,3,1,9,acept,not furnished,894,118,6
São Paulo,220,4,4,3,4,not acept,furnished,2200,809,63
Campinas,78,2,1,1,8,acept,not furnished,605,106,17
Belo Horizonte,78,1,1,1,15,not acept,not furnished,775,128,31
São Paulo,250,3,5,3,4,acept,not furnished,3500,0,87
São Paulo,399,3,5,4,21,acept,not furnished,7000,0,153
São Paulo,365,4,5,6,4,acept,not furnished,3722,2588,177
São Paulo,93,2,2,2,2,acept,furnished,1166,325,70
Porto Alegre,68,2,2,2,4,acept,not furnished,350,60,25
Campinas,148,3,2,0,14,acept,not furnished,610,102,22
São Paulo,100,2,1,1,5,acept,furnished,1400,234,49
São Paulo,100,3,2,2,7,not acept,not furnished,1400,217,45
Porto Alegre,140,3,2,2,3,acept,not furnished,686,250,44
São Paulo,100,1,2,2,3,not acept,not furnished,1690,309,64
São Paulo,220,3,4,3,16,acept,furnished,1500,555,102
São Paulo,375,4,4,3,-,acept,not furnished,0,75,97
São Paulo,450,4,3,8,-,acept,not furnished,0,175,211
Campinas,185,3,3,2,6,acept,not furnished,1200,100,28
São Paulo,720,4,5,5,17,acept,not furnished,6471,3520,83
Belo Horizonte,70,3,1,1,3,acept,not furnished,180,0,14
São Paulo,90,2,1,1,-,acept,not furnished,0,19,42
São Paulo,50,2,1,1,6,acept,furnished,400,0,15
Belo Horizonte,40,1,1,1,13,acept,not furnished,591,272,35
Belo Horizonte,47,2,1,1,6,acept,not furnished,350,75,20
Campinas,59,2,1,1,5,acept,not furnished,430,47,16
Rio de Janeiro,85,2,2,1,1,acept,not furnished,1100,82,26
Belo Horizonte,274,6,6,2,-,acept,not furnished,0,671,148
Porto Alegre,78,2,1,0,3,acept,not furnished,280,32,21
Porto Alegre,55,1,1,0,2,acept,furnished,320,30,17
São Paulo,126,2,2,2,8,acept,not furnished,1000,263,30
São Paulo,125,2,2,1,-,acept,furnished,0,392,43
São Paulo,400,3,5,5,-,acept,not furnished,0,0,188
São Paulo,65,2,2,1,12,not acept,furnished,980,250,77
